AANHITW	Hilton Al Ain
SSHWFHI	Hilton Sharm Waterfalls Resort
STAESES	Embassy Suites by Hilton Santa Ana-Orange Cty Apt North
STAHSHX	Hampton Inn and Suites Santa Anna/Orange Count Airport
STAOCDT	DoubleTree by Hilton Santa Ana-Orange County Airport
STBOHHX	Hampton Inn and Suites Cleveland Southeast/Streetsboro
STCLDHX	Hampton Inn and Suites St. Cloud, MN
STCMNHW	Homewood Suites by Hilton St. Cloud, MN
STFMSHX	Hampton Inn Starkville
STFSVGI	Hilton Garden Inn Starkville
STJHIHH	Hilton Saint John
STJMOHX	Hampton Inn St. Joseph, MO
STLAPHX	Hampton Inn St. Louis Airport, MO
STLBHHX	Hampton Inn and Suites St. Louis South-I-55, MO
STLBVHF	Hilton St. Louis at the Ballpark
STLCDHW	Homewood Suites by Hilton Chesterfield
STLCFHX	Hampton Inn St. Louis/Chesterfield
STLCHGI	Hilton Garden Inn St.Louis/Chesterfield
STLCLHX	Hampton Inn St. Louis/Columbia, IL
STLCNDT	DoubleTree by Hilton St Louis/Collinsville
STLCVHX	Hampton Inn St. Louis/Collinsville
STLDDHF	Hilton St. Louis Downtown
STLDSHX	Hampton Inn St. Louis/Westport
STLDTHX	Hampton Inn St. Louis-Downtown (At the Gateway Arch), MO
STLEAGI	Hilton Garden Inn Shiloh/OFallon
STLEDHX	Hampton Inn and Suites St. Louis/Edwardsville, IL
STLEMES	Embassy Suites by Hilton St. Louis / St. Charles
STLESES	Embassy Suites by Hilton St. Louis-Airport
STLFHHF	Hilton St. Louis-Frontenac
STLFVHX	Hampton Inn St. Louis/Fairview Heights
STLGAHX	Hampton Inn and Suites Clayton/St. Louis-Galleria Area, MO
STLHIHF	Hilton St. Louis-Airport
STLHLHX	Hampton Inn and Suites St. Louis/Highlands, MO
STLHSHX	Hampton Inn and Suites St. Louis/Chesterfield
STLHWHW	Homewood Suites by Hilton St. Louis/Galleria, MO
STLNPGI	HILTON GARDEN INN ST. LOUIS AIRPORT
STLOFGI	HILTON GARDEN INN ST. LOUIS/OFALLON
STLPPHX	Hampton Inn St. Louis 1-44 Southwest
STLRVHW	Homewood Suites by Hilton St. Louis Riverport - Airport West
STLSCDT	DoubleTree by Hilton St. Louis
STLSHHX	Hampton Inn St. Louis/Sunset Hills
STLSTHX	Hampton Inn St. Louis/St. Charles
STLUSDT	DoubleTree by Hilton St. Louis Union Station
STLWAES	Embassy Suites by Hilton St. Louis, MO
STLWPDT	DoubleTree by Hilton St. Louis at Westport
STNAPHN	Hilton London Stansted Airport
STNCBDI	DoubleTree by Hilton Cambridge City Centre
STNHCHI	Hilton Cambridge, United Kingdom
STOOHHX	Hampton Inn Stow, OH
STOSLHI	Hilton Stockholm Slussen
STRMOHX	Hampton Inn St. Robert/Ft. Leonard Wood
STRPKGI	Hilton Garden Inn Stuttgart Neckarpark
STSAPGI	Hilton Garden Inn Sonoma County Airport, CA
STSRPHX	Hampton Inn and Suites Rohnert Park, CA
STSSCHF	Hilton Sonoma County-Santa Rosa
STSWIHX	Hampton Inn and Suites Windsor/Sonoma Wine Country
STVPTHX	Hampton Inn Plover/Stevens Point, WI
SUANOHX	Hampton Inn and Suites Stuart-North, FL
SUMMNHX	Hampton Inn Manning, SC
SUMSCHX	Hampton Inn Sumter
SUXGIGI	Hilton Garden Inn Sioux City Riverfront, IA
SVHHHHX	Hampton Inn Statesville, NC
SVLWVHX	Hampton Inn Summersville
SVNMIHX	Hampton Inn South Haven
SVOHFHI	Hilton Moscow Leningradskaya
SVQGIGI	Hilton Garden Inn Sevilla
SVRTNHX	Hampton Inn Sevierville
SVXCCDI	DoubleTree by Hilton Ekaterinburg City Centre
SWFFKGI	Hilton Garden Inn Poughkeepsie/Fishkill
SWFNWHW	Homewood Suites by Hilton Newburgh-Stewart Airport
SWIHNHN	Hilton Swindon
SWYPAHX	Hampton Inn Shrewsbury
SXBHITW	Hilton Strasbourg
SYCVAHX	Hampton Inn Stony Creek/Petersburg Area, VA
SYDHITW	Hilton Sydney
SYRAPHX	Hampton Inn Syracuse North
SYRAUGI	Hilton Garden Inn Auburn, NY
SYRCYHX	Hampton Inn SYRACUSE/CLAY, NY
SYRDTDT	DoubleTree by Hilton Syracuse
SYRDWES	Embassy Suites by Hilton Syracuse
SYRERHX	Hampton Inn and Suites Syracuse Erie Boulevard, NY
SYRHWHW	Homewood Suites by Hilton Syracuse/Liverpool
SYRSHGI	Hilton Garden Inn Syracuse
SZDCRDI	DoubleTree by Hilton Sheffield Park
SZDSHHN	Hilton Sheffield
SZFHXHX	Hampton Inn Samsun
SZZSWHX	Hampton Inn Swinoujscie
TAMHSHX	Hampton Inn Tampico, Tamaulipas, Mexico
TAONMHX	Hampton Inn Taos
TBAHITW	Hilton Taba Resort & Nelson Village
TBRBAHX	Hampton Inn Statesboro, GA
TCCSRHX	Hampton Inn Santa Rosa, NM
TCLALHX	Hampton Inn Tuscaloosa University
TCLBMHX	Hampton Inn Tuscaloosa I-59
TCLRTES	Embassy Suites by Hilton Tuscaloosa Downtown
TCMPYHX	Hampton Inn and Suites Tacoma/Puyallup, WA
TEQCOGI	Hilton Garden Inn Corlu, Turkey
TERHIDT	DoubleTree by Hilton Tarrytown
TFTGIGI	Hilton Garden Inn Tifton, GA
TFTSOHX	Hampton Inn and Suites Tifton, GA
TGZGIGI	Hilton Garden Inn Tuxtla
THLAPDT	DoubleTree by Hilton Tallahassee
THMTNHX	Hampton Inn Tullahoma
TIXFLHX	Hampton Inn Titusville I-95/Kennedy Spc Ctr.
TJMOSDI	DoubleTree by Hilton Tyumen, Russia
TKATXHX	Hampton Inn and Suites Texarkana, TX
TLAREHX	Hampton Inn and Suites Tulare, CA
TLHEHGI	Hilton Garden Inn Tallahassee Central
TLHHHHX	Hampton Inn Tallahassee Central
TLHHSHX	Hampton Inn and Suites Tallahassee I-10/Thomasville Road, FL
TLHHWHW	Homewood Suites by Hilton Tallahassee
TLHTLGI	Hilton Garden Inn Tallahassee
TLLHIHI	Hilton Tallinn Park
TLVHITW	Hilton Tel Aviv
TOIALHX	Hampton Inn Troy
TOLHSHX	Hampton Inn and Suites Toledo North
TOLMEHW	Homewood Suites by Hilton Toledo/Maumee
TOLPBGI	Hilton Garden Inn Toledo/Perrysburg, OH
TOLPGHX	Hampton Inn and Suites Toledo/Perrysburg, OH
TOLSOHX	Hampton Inn Toledo South/Maumee
TOLWGHX	Hampton Inn and Suites Toledo/Westgate, OH
TOPKSHX	Hampton Inn Topeka, KS
TORHIHH	Hilton Toronto
TPAAHHF	Hilton Tampa-Airport-Westshore
TPAAPHW	Homewood Suites by Hilton Tampa Airport - Westshore
TPAATHX	Hampton Inn Tampa Airport/Westshore
TPABDES	Embassy Suites by Hilton Tampa-Brandon
TPABRHX	Hampton Inn Tampa/Brandon
TPAEBGI	Hilton Garden Inn Tampa East  Brandon
TPAESES	Embassy Suites by Hilton Tampa-Downtown Convention Center
TPAFLES	Embassy Suites by Hilton Tampa-Airport-Westshore
TPAFMGI	Hilton Garden Inn Ft. Myers
TPAFRES	Embassy Suites by Hilton Tampa-USF-Near Busch Gardens
TPAHSHX	Hampton Inn and Suites Tampa East (Casino Area), FL
TPAHWHW	Homewood Suites by Hilton Tampa/Brandon, FL
TPANHGI	Hilton Garden Inn Tampa North
TPANOHX	Hampton Inn and Suites Tampa North
TPANTHF	Hilton Tampa Downtown, FL
TPANWGI	Hilton Garden Inn Tampa Northwest/Oldsmar
TPAOMHX	Hampton Inn and Suites Tampa Northwest/Oldsmar, FL
TPARHDT	DoubleTree Suites by Hilton Tampa Bay
TPARPHX	Hampton Inn Tampa-Airport/Rocky Point, FL
TPASEGI	Hilton Garden Inn Tampa/Riverview/Brandon, FL
TPATLDT	DoubleTree by Hilton Tampa-Westshore Airport
TPATSHX	Hampton Inn and Suites Tarpon Springs
TPAVEHX	Hampton Inn Tampa-Veterans Expwy/Waters Ave
TPAWCHX	Hampton Inn and Suites Tampa/Wesley Chapel, FL
TPAWSGI	Hilton Garden Inn Tampa Airport/Westshore, FL
TPAYBHX	Hampton Inn and Suites Tampa-Ybor City/Downtown
TPAYCGI	Hilton Garden Inn Tampa Ybor Historic District
TPLGIGI	Hilton Garden Inn Temple, TX
TPLSGHX	Hampton Inn Temple, TX
TRACYHX	Hampton Inn Tracy
TRCHAHX	Hampton Inn Torreon
TRCHWHW	Homewood Suites by Hilton Torreon, Coahuila, Mexico
TREUTHX	Hampton Inn Tremonton, UT
TRIDTDT	DoubleTree by Hilton Johnson City
TRIJCHX	Hampton Inn Johnson City
TRVGIGI	Hilton Garden Inn Trivandrum
TRVNJHX	Hampton Inn Turnersville (Philadelphia Area), NJ
TRYOHHX	Hampton Inn Troy, OH
TSEAKGI	Hilton Garden Inn Astana
TTNHAHW	Homewood Suites by Hilton Hamilton, NJ
TTNHLGI	Hilton Garden Inn Hamilton, NJ
TTNHRHX	Hampton Inn and Suites Robbinsville, NJ
TTNMHGI	Hilton Garden Inn Mount Holly/Westampton, NJ
TUCAPGI	Hilton Garden Inn Tucson Airport, AZ
TUCGIGI	Hilton Garden Inn Tucuman, Argentina
TULAHGI	Hilton Garden Inn Tulsa Airport
TULBAHX	Hampton Inn Tulsa/Broken Arrow
TULBYHX	Hampton Inn and Suites Tulsa South/Bixby, OK
TULCEHX	Hampton Inn and Suites Tulsa Central, OK
TULCTHX	Hampton Inn and Suites Tulsa-Catoosa, OK
TULESES	Embassy Suites by Hilton Tulsa-I-44
TULHSHX	Hampton Inn and Suites Tulsa/Woodland Hills
TULHWHW	Homewood Suites by Hilton Tulsa-South, OK
TULMDGI	Hilton Garden Inn Tulsa Midtown, OK
TULOWHX	Hampton Inn and Suites Tulsa North/Owasso, OK
TULSDDT	DoubleTree by Hilton Tulsa-Downtown
TULSGGI	Hilton Garden Inn Tulsa South
TULSOHX	Hampton Inn and SuitesTulsa/Tulsa Hills, OK
TULSYDT	DoubleTree by Hilton Tulsa at Warren Place
TUPBCHX	Hampton Inn and Suites Tupelo/Barnes Crossing, MS
TUPNAHX	Hampton Inn New Albany, MS
TUPTUGI	Hilton Garden Inn Tupelo, MS
TUPWPHX	Hampton Inn and Suites West Point, MS
TUSBTDT	DoubleTree by Hilton Tucson-At Reid Park
TUSEAHX	Hampton Inn & Suites Tucson East/Williams Center, Az+++
TUSESES	Embassy Suites by Hilton Tucson Paloma Village
TUSGRHX	Hampton Inn Tucson North
TUSHEHF	Hilton Tucson East
TUSHSHX	Hampton Inn and Suites Tucson-Mall
TUSHTHH	Hilton Tucson El Conquistador Golf and Tennis Resort
TUSSPHW	Homewood Suites by Hilton Tucson/St. Philip's Plaza Univ
TUSSSHX	Hampton Inn Tulsa/Sand Springs
TUSTADT	DoubleTree by Hilton Tucson Airport
TUSTBHX	Hampton Tucson Airport
TUSTWDT	DoubleTree by Hilton Suites Tuucson-Williams Center, AZ
TUUGIGI	Hilton Garden Inn Tabuk
TVCLMHX	Hampton Inn Traverse City
TVLGAHX	Hampton Inn Thomasville
TWFIDHX	Hampton Inn Twin Falls
TWFTFGI	Hilton Garden Inn Twin Falls, ID
TXKCRHX	Hampton Inn Texarkana, AR
TXKHPHX	Hampton Inn and Suites Hope, AR
TXKTXGI	Hilton Garden Inn Texarkana
TXLBCHX	Hampton Inn Berlin City West
TYOCICI	Conrad Tokyo
TYOHITW	Hilton Tokyo
TYOODHI	Hilton Odawara Resort & Spa
TYOTBTW	Hilton Tokyo Bay
TYOTOHI	Hilton Tokyo Odaiba
TYRLDHX	Hampton Inn Lindale/Tyler
TYRTXHX	Hampton Inn Tyler
TYRTYGI	Hilton Garden Inn Tyler, TX
TYSAPHX	Hampton Inn Knoxville Airport
TYSCLHX	Hampton Inn Knoxville/Clinton I-75, TN
TYSDDHX	Hampton Inn Dandridge, TN
TYSEAHX	Hampton Inn Knoxville-East, TN
TYSHWHW	Homewood Suites Knoxville
TYSKHGI	Hilton Garden Inn Knoxville West/Cedar Bluff, TN
TYSKNGI	Hilton Garden Inn Knoxville/University, TN
TYSKWES	Embassy Suites by Hilton Knoxville West
TYSNOHX	Hampton Inn and Suites Knoxville/North I-75, TN
TYSSVHX	Hampton Inn and Suites Sevierville at Stadium Drive, TN
TYSTCHX	Hampton Inn and Suites Knoxville-Turkey Creek/Farragut, TN
TYSWSHX	Hampton Inn Knoxville-West At Cedar Bluff, TN
TZXGIGI	Hilton Garden Inn Trabzon
UCANHHX	Hampton Inn & Suites New Hartford
UCANYHX	Hampton Inn Utica, NY
UFAGIGI	Hilton Garden Inn Ufa Riverside
UFAHXHX	Hampton Inn Ufa
UINILHX	Hampton Inn Quincy, IL
UKHCAHX	Hampton Inn Ukiah
ULYGSGI	Hilton Garden Inn Ulyanovsk
UNTPAHX	Hampton Inn Uniontown
USMKRCI	Conrad Koh Samui Residences
USMKSCI	Conrad Koh Samui
USTHDHF	Hilton St. Augustine - Historic Bayfront
USTSMDT	DoubleTree by Hilton St. Augustine Historic District
USTSTGI	Hilton Garden Inn St. Augustine Beach
VACCAHX	Hampton Inn and Suites Vacaville/Napa Valley
VALESES	Embassy Suites by Hilton Valencia
VALINHX	Hampton Inn and Suites Valparaiso
VALVHGI	Hilton Garden Inn Valencia Six Flags
VANDIDI	Doubletree by Hilton Van, Turkey
VANVWDT	DoubleTree by Hilton Vancouver
VANWAHW	Homewood Suites by Hilton Portland-Vancouver
VARGSDI	DoubleTree by Hilton Varna - Golden Sands
VCEGIGI	Hilton Garden Inn Venice Mestre
VCEHIHI	Hilton Molino Stucky Venice
VCEMVDI	DoubleTree by Hilton Venice - North
VCTHSGI	Hilton Garden Inn Victoria, TX
VCTJSHW	Homewood Suites by Hilton Victoria, TX
VCTTXHX	Hampton Inn Victoria, TX
VCVGIGI	Hilton Garden Inn Victorville, CA
VDIGAHX	Hampton Inn Vidalia, GA
VENFLHX	Hampton Inn and Suites Venice/South Sarasota
VERBRGI	Hilton Garden Inn Boca del Rio, Veracruz, MX
VHNFRHX	Hampton Inn Van Horn, TX
VIEGIGI	Hotel Vienna South, a Hilton Garden Inn affiliate Hotel
VIEHAHI	Hilton Vienna Danube Waterfront, Austria
VIEHITW	Hilton Vienna, Austria
VIEPWTW	Hilton Vienna Plaza, Austria
VISCAHX	Hampton Inn Visalia, CA
VKSBGHX	Hampton Inn and Suites Vicksburg, MS
VLDCCHX	Hampton Inn and Suites Valdosta Conference Center
VLDGAGI	Hilton Garden Inn Valdosta, GA
VLDLPHX	Hampton Inn Valdosta/Lake Park
VOGVPHX	Hampton By Hilton Volgograd Profsoyuznaya
VORHEHX	Hampton Inn Philadelphia/Voorhees, NJ
VORNJHX	Hampton Inn Cherry Hill/Voorhees
VOZHXHX	Hampton Inn Voronezh, Russia
VSAAHHH	Hilton Villahermosa & Conference Center
VYSILHX	Hampton Inn and Suites Peru, IL
WALCTHW	Homewood Suites by Hilton Wallingford-Meriden
WARHNHN	Hilton Warwick / Stratford-upon-Avon
WARSWHX	Hampton Inn Warsaw, IN
WASALHX	Hampton Inn Alexandria Old Town King Street
WASAXHX	Hampton Inn & Suites Alexandria-Old Town Area South
WASBHDT	DoubleTree by Hilton Bethesda
WASBTGI	Hilton Garden Inn Bethesda
WASCCES	Embassy Suites by Hilton Washington DC Convention Center
WASCHES	Embassy Suites by Hilton Chevy Chase Pavilion
WASCLHX	Hampton Inn College Park
WASCNHX	Hampton Inn Washington Dulles Airport South
WASCRES	Embassy Suites by Hilton Crystal City-National Airport
WASDAES	Embassy Suites by Hilton Dulles Airport
WASDFHX	Hampton Inn Dumfries/Quantico
WASDLHW	Homewood Suites by Hilton Washington Dulles Airport
WASDNES	Embassy Suites by Hilton Washington DC Georgetown
WASDTDT	DoubleTree by Hilton Washington D.C.
WASDUHX	Hampton Inn and Suites Washington/Dulles Interntnl Airport
WASFBHX	Hampton Inn and Suites Alexandria/Ft. Belvoir, VA
WASGVHX	Hampton Inn Gainsville/Haymarket, VA
WASHHHX	Hampton Washington-Downtown-Convention Center, DC
WASHNHX	Hampton Inn and Suites Herndon/Reston, VA
WASHSHX	Hampton Inn Washington, DC/White House
WASHWHW	Homewood Suites by Hilton Washington, D.C. Downtown
WASLBHX	Hampton Inn and Suites Leesburg
WASLDHW	Homewood Suites by Hilton Dulles-North/Loudoun, VA
WASLGHW	Homewood Suites by Hilton Leesburg, VA
WASLLHX	Hampton Inn Laurel(Fort Meade Area), MD
WASMFHW	Homewood Suites by Hilton Falls Church
WASNLES	Embassy Suites by Hilton Dulles - North Loudoun
WASNYHX	Hampton Inn & Suites Washington, D.C./Navy Yard Area
WASOTES	Embassy Suites by Hilton Alexandria-Old Town
WASOXHX	Hampton Inn and Suites National Harbor, MD
WASRRHX	Hampton Inn and Suites Crystal City
WASSLHX	Hampton Inn Dulles/Cascades
WASSSHX	Hampton Silver Spring
WASSVHW	Homewood Suites Silver Spring
WASTSES	Embassy Suites by Hilton Tysons Corner
WASWBHX	Hampton Inn Potomac Mills/Woodbridge, VA
WASWEGI	Hilton Garden Inn Washington Dc/ Georgetown Area
WASWLHX	Hampton Inn Waldorf
WATHNHN	Hilton Watford, United Kingdom
WAWAPHX	Hampton by Hilton Warsaw Airport
WAWCCDI	DoubleTree by Hilton Hotel & Conference Centre Warsaw,Poland
WAWCTHX	Hampton By Hilton  Warsaw City
WAWHIHI	Hilton Warsaw Hotel & Convention Centre
WAYPAHX	Hampton Inn Waynesburg, PA
WBDHAHX	Hampton Inn Woodbridge, NJ
WBGCLHX	Hampton Inn and Suites Williamsburg-Central, VA
WBGHWHW	Homewood Suites by Hilton Williamsburg
WBGKRDT	DoubleTree by Hilton Williamsburg
WBGRRHX	Hampton Inn and Suites Williamsburg Richmond Road
WBGVAES	Embassy Suites by Hilton Williamsburg
WBUCOHX	Hampton Inn Denver Northeast-Brighton, CO
WBUGBHX	Hampton Inn and Suites Boulder-North
WCHOHHX	Hampton Inn Washington Court House
WCVCAHX	Hampton Inn Los Angeles/West Covina
WDGOKHX	Hampton Inn and Suites Enid, OK
WDHHIHI	Hilton Windhoek
WELFLHX	Hampton Inn and Suites Wellington, FL
WELMEHX	Hampton Inn and Suites Wells/Ogunquit, ME
WFDTXHX	Hampton Inn Weatherford, TX
WGVPAHX	Hampton Inn Philadelphia/Willow Grove
WHEWVHX	Hampton Inn Wheeling
WHTNCHX	Hampton Inn Washington, NC
WHVFLHX	Hampton Inn Winter Haven
WILNCHX	Hampton Inn Williamston
WINNJHX	Hampton Inn East Windsor, NJ
WINWVHX	Hampton Inn Winfield/Teays Valley
WKBNCHX	Hampton Inn Wilkesboro
WLNHSHX	Hampton Inn and Suites Wilson I-95
WLTSCHX	Hampton Inn Walterboro
WMHARHX	Hampton Inn Mountain Home, AR
WNCCHGI	Hilton Garden Inn Winchester, VA
WNCHHHX	Hampton Inn Winchester North
WNCVAHX	Hampton Inn Winchester University Mall
WNDAPHX	Hampton Inn Hartford Airport
WNDHWHW	Homewood Suites by Hilton Hartford Downtown
WNDLKHW	Homewood Suites by Hilton Hartford/Windsor Locks
WODHIHF	Hilton Woodcliff Lake
WOOOHHX	Hampton Inn Wooster
WPTPAHX	Hampton Inn Williamsport-Downtown, PA
WRBGAHX	Hampton Inn Warner Robins
WRJVTHX	Hampton Inn White River Junction
WRWHSHX	Hampton Inn & Suites Providence/Warwick Airport,RI
WRWHWHW	Homewood Suites by Hilton Providence-Warwick
WSGPAHX	Hampton Inn Washington, PA
WTHVNHX	Hampton Inn and Suites New Haven-South/West Haven, CT
WTVMEHX	Hampton Inn Waterville
WTYCTHX	Hampton Inn Waterbury, CT
WWROKHX	Hampton Inn and Suites Woodward, OK
WYBSDHX	Hampton Inn Waynesboro
WYTVAHX	Hampton Inn Wytheville
XEBHIHI	Hilton Evian-les-Bains
XKUKUDI	DoubleTree by Hilton Kusadasi
XLVNFHF	Hilton Niagara Falls
XLVNLGI	Hilton Garden Inn Niagara on the Lake
XNAESES	Embassy Suites by Hilton Northwest Arkansas
XNAJPGI	Hilton Garden Inn Joplin, MO
XOKCNHX	Hampton Inn Oakville/Mississiauga
XWOWODI	Doubletree by Hilton Woking, United Kingdom
YCWLRHX	Hampton Inn Chilliwack, British Columbia, Canada
YEGFSHX	Hampton Inn Fort Saskatchewan, Alberta, Canada
YEGGIGI	Hilton Garden Inn Edmonton International Airport
YEGHSHX	Hampton Inn and Suites Edmonton Intl Airport Alberta, CA
YEGNMDT	DoubleTree by Hilton West Edmonton
YEGOMHT	Home2 West Edmonton
YEGSOHX	Hampton Inn South Edmonton/South, Alberta, Canada
YEGWEGI	Hilton Garden Inn West Edmonton
YEGWTHX	Hampton Inn and Suites West Edmonton, Alberta, Canada
YHMCNHX	Hampton Inn and Suites by Hilton Brantford
YHMHWHW	Homewood Suites by Hilton Hamilton, Ontario, Canada
YHMSJHW	Homewood Suites by Hilton Waterloo/St. Jacobs
YHZDTHX	Hampton Inn and Suites Dartmouth, Nova Scotia, Canada
YHZDWHW	Homewood  Suites Halifax Downtown
YHZDXHX	Hampton Inn Halifax Downtown
YHZHGGI	Hilton Garden Inn Halifax Airport, Nova Scotia
YHZHHDT	The Hollis Halifax - a DoubleTree Suites by Hilton
YKFCNHX	Hampton Inn and Suites Kitchener, Ontario, Canada
YKMELHX	Hampton Inn Ellensburg, WA
YKMYAGI	Hilton Garden Inn Yakima, WA
YLLYDHX	Hampton Inn Lloydminster, Alberta, Canada
YNGATHX	Hampton Inn Youngstown West
YNGCFHX	Hampton Inn and Suites Youngstown/Canfield, OH
YNGNCHX	Hampton Inn and Suites New Castle, PA
YNGNOHX	Hampton Inn Youngstown North
YNGOHHX	Hampton Inn Youngstown/Boardman
YNGSHHX	Hampton Inn and Suites Sharon, PA
YNJBCHX	Hampton Inn and Suites Langley/Surrey, BC, Canada
YORNEHX	Hampton Inn York, NE
YOWAPGI	Hilton Garden Inn Ottawa Airport
YOWARDT	DoubleTree by Hilton Gatineau-Ottawa
YOWCNHX	Hampton Inn Ottawa
YOWOVHF	Hilton Lac Leamy
YQBHIHH	Hilton Quebec
YQBMTHW	Homewood Suites by Hilton Mont-Tremblant Resort
YQFRDHX	Hampton Inn and Suites Red Deer, Alberta, Canada
YQGCNHX	Hampton Inn and Suites Windsor
YQLLEHX	Hampton Inn and Suites Lethbridge, Alberta, Canada
YQMNBHX	Hampton Inn and Suites Moncton, New Brunswick, Canada
YQRCCDT	DoubleTree by Hilton Regina
YQRGAHX	Hampton Inn and Suites Regina East Gate, SK
YQYNSHX	Hampton Inn Sydney, Nova Scotia, CA
YRKHWHW	Homewood Suites by Hilton York, PA
YRKPAHX	Hampton Inn York, PA
YSBHWHW	Homewood Suites by Hilton Sudbury, Ontario, Canada
YSBRYHX	Hampton Inn Sudbury, Ontario, Canada
YSJSJHX	Hampton Inn and Suites Saint John, New Brunswick, Canada
YTOAJHW	Homewood Suites by Hilton Ajax, Ontario, Canada
YTOBMHX	Hampton Inn Toronto/Brampton, Ontario, Canada
YTOBRGI	Hilton Garden Inn Toronto/Brampton, ON
YTOCSDT	DoubleTree by Hilton Toronto Downtown
YTOHWHW	Homewood Suites by Hilton Toronto-Mississauga
YTOMIHW	Homewood Suites by Hilton Toronto Airport Corporate Centre
YTOMSHX	Hampton Inn Toronto/Mississauga
YTOSOHX	Hampton Inn Toronto Airport Corp Center Ontario, Canada
YTOTVGI	Hilton Garden Inn Toronto/Oakville
YUBCAHX	Hampton Inn and Suites Yuba City, CA
YULCVGI	Hilton Garden Inn Montreal Centre-Ville
YULDNES	Embassy Suites by Hilton Montreal
YULDVHX	Hampton Inn and Suites Montreal
YULHLHF	Hilton Montreal/Laval
YULLVHX	Hampton Inn and Suites Laval, Quebec, Canada
YUMAZHX	Hampton Inn and Suites Yuma, AZ
YUMHWHW	Homewood Suites by Hilton Yuma, AZ
YUMRSGI	Hilton Garden Inn Yuma Pivot Point
YVRAHHF	Hilton Vancouver Airport
YVRHSHX	Hampton Inn and Suites Vancouver-Downtown, BC, Canada
YVRRHHX	Hampton Inn Vancouver-Airport/Richmond,BC, Canada
YVRVMHF	Hilton Vancouver Metrotown
YWGAPHX	Hampton Inn Winnipeg Airport - Polo Park
YWGWIHF	Hilton Suites Winnipeg Airport
YWGWWHW	Homewood Suites by Hilton Winnipeg Airport-Polo Park
YWSVRHF	Hilton Whistler Resort & Spa
YXESDGI	Hilton Garden Inn Saskatoon Downtown, SK, Canada
YXESSHX	Hampton Inn Saskatoon South, SK, Canada
YXUHWHW	Homewood Suites by Hilton London, Ontario
YXULDHX	Hampton Inn London, Ontario, CA
YYBNBHX	Hampton Inn North Bay, ON, Canada
YYCAHGI	Hilton Garden Inn Calgary Airport
YYCAIHX	Hampton Inn and Suites Airdrie, Alberta, Canada
YYCAPHX	Hampton Inn Calgary-Airport North
YYCHSHX	Hampton Inn and Suites Calgary Northwest
YYCHWHW	Homewood Suites by Hilton Calgary-Airport+++
YYJDSDT	DoubleTree by Hilton Victoria
YYTAPHX	Hampton Inn and Suites St. John's Airport, NL, Canada
YYZAJGI	Hilton Garden Inn Toronto/Ajax, Ontario, Canada
YYZAPHF	Hilton Suites Toronto/Markham-Conference Centre, CA
YYZBUGI	Hilton Garden Inn Toronto/Burlington, Ontario
YYZCBHW	Homewood Suites by Hilton Cambridge-Waterloo, Ontario
YYZCMGI	Hilton Garden Inn Kitchener/Cambridge
YYZDTGI	Hilton Garden Inn Toronto Downtown
YYZHIHH	Hilton Toronto Airport Hotel & Suites
YYZHSHX	Hampton Inn and Suites Toronto Airport
YYZHWHW	Homewood Suites by Hilton Toronto-Markham
YYZMAGI	Hilton Garden Inn Toronto/Markham
YYZMKHX	Hampton Inn and Suites Markham, Ontario, Canada
YYZMOHH	Hilton Mississauga Meadowvale
YYZMSGI	Hilton Garden Inn TORONTO/MISSISSAUGA
YYZMTGI	Hilton Garden Inn Toronto Airport West/Mississauga, Ontario
YYZOVHW	Homewood Suites by Hilton Toronto-Oakville
YYZTAGI	Hilton Garden Inn Toronto Airport
